,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,0.0,28.082774,[35 19] ; [ 72 191],[18.22712934 35.77287066] ; [ 88.77287066 174.22712934],1
1,p4,1,1e-06,25.178363,[30 26] ; [ 56 211],[14.91021672 41.08978328] ; [ 71.08978328 195.91021672],1
0,p2,1,4.7e-05,16.58319,[49  7] ; [158 111],[35.66769231 20.33230769] ; [171.33230769  97.66769231],1
