,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,1.1e-05,19.367545,[22 60] ; [61 42],[36.78918919 45.21081081] ; [46.21081081 56.78918919],1
0,p4,1,5.3e-05,16.347999,[19 64] ; [54 50],[32.40106952 50.59893048] ; [40.59893048 63.40106952],1
2,p8,1,0.000154,14.320887,[14 70] ; [44 60],[25.91489362 58.08510638] ; [32.08510638 71.91489362],1
3,p11,1,0.000483,12.180073,[29 56] ; [62 42],[40.92592593 44.07407407] ; [50.07407407 53.92592593],1
