,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,1e-06,23.339204,[24 12] ; [26 87],[12.08053691 23.91946309] ; [37.91946309 75.08053691],1
1,p6,1,4.9e-05,16.504761,[15 21] ; [ 13 101],[ 6.72 29.28] ; [21.28 92.72],1
0,p2,1,0.000207,13.76836,[29  7] ; [52 63],[19.31125828 16.68874172] ; [61.68874172 53.31125828],1
