,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,2e-06,22.516712,[34 31] ; [227  55],[48.89048991 16.10951009] ; [212.10951009  69.89048991],1
1,p6,1,5e-06,20.996945,[18 44] ; [172 110],[34.24418605 27.75581395] ; [155.75581395 126.24418605],1
0,p2,1,1.6e-05,18.580865,[52 15] ; [265  16],[61.0316092  5.9683908] ; [255.9683908  25.0316092],1
4,p10,1,7.1e-05,15.781263,[48 17] ; [258  24],[57.31988473  7.68011527] ; [248.68011527  33.31988473],1
3,p9,1,0.000672,11.566266,[51 14] ; [261  21],[58.44380403  6.55619597] ; [253.55619597  28.44380403],1
