,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,47.937459,[ 27 380] ; [26 52],[ 44.47628866 362.52371134] ; [ 8.52371134 69.47628866],1
3,p12,1,0.0,43.858893,[ 25 383] ; [24 54],[ 41.13580247 366.86419753] ; [ 7.86419753 70.13580247],1
2,p8,1,0.000208,13.755921,[255 150] ; [66 12],[269.16149068 135.83850932] ; [51.83850932 26.16149068],1
1,p6,1,0.000455,12.290354,[191 215] ; [53 24],[205.10144928 200.89855072] ; [38.89855072 38.10144928],1
