,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p10,1,0.0,49.845611,[253  69] ; [77 87],[218.64197531 103.35802469] ; [111.35802469  52.64197531],1
2,p9,1,0.0,34.885217,[262  59] ; [92 71],[234.78099174  86.21900826] ; [119.21900826  43.78099174],1
0,b1,1,0.0,29.061053,[105 218] ; [98 72],[133. 190.] ; [ 70. 100.],1
1,p2,1,3e-06,21.870004,[242  80] ; [92 77],[219.03869654 102.96130346] ; [114.96130346  54.03869654],1
