,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,r3,1,0.000282,13.183124,[85 32] ; [97  9],[95.48878924 21.51121076] ; [86.51121076 19.48878924],1
2,p2,1,0.000536,11.987769,[57 61] ; [76 31],[69.75111111 48.24888889] ; [63.24888889 43.75111111],1
1,r4,1,0.000842,11.146382,[72 46] ; [87 20],[83.38666667 34.61333333] ; [75.61333333 31.38666667],1
