,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
20,p9,1,0.0,104.596033,[30 82] ; [207  45],[72.92307692 39.07692308] ; [164.07692308  87.92307692],1
14,p2,1,0.0,46.857008,[55 60] ; [208  44],[82.41144414 32.58855586] ; [180.58855586  71.41144414],1
18,p7,1,0.0,42.625462,[41 73] ; [180  70],[69.21428571 44.78571429] ; [151.78571429  98.21428571],1
19,p8,1,0.0,41.733164,[26 87] ; [149 101],[54.47658402 58.52341598] ; [120.52341598 129.47658402],1
5,r3,1,0.0,36.609003,[82 32] ; [240  14],[99.75 14.25] ; [222.25  31.75],1
6,r4,1,0.0,34.796918,[69 46] ; [223  33],[90.51212938 24.48787062] ; [201.48787062  54.51212938],1
13,s8,1,0.0,31.550366,[18 95] ; [118 135],[41.98907104 71.01092896] ; [ 94.01092896 158.98907104],1
3,v4,1,0.0,27.259796,[84 29] ; [238  16],[99.14441417 13.85558583] ; [222.85558583  31.14441417],1
9,n6,1,0.0,25.592193,[61 52] ; [204  52],[81.15176152 31.84823848] ; [183.84823848  72.15176152],1
17,p6,1,1e-06,24.710714,[17 94] ; [105 144],[37.61666667 73.38333333] ; [ 84.38333333 164.61666667],1
16,p4,1,1e-06,24.612318,[41 73] ; [162  92],[62.88586957 51.11413043] ; [140.11413043 113.88586957],1
8,n5,1,2e-06,23.115268,[62 51] ; [203  53],[81.15176152 31.84823848] ; [183.84823848  72.15176152],1
7,n4,1,4e-06,21.398033,[66 47] ; [208  48],[83.90785908 29.09214092] ; [190.09214092  65.90785908],1
15,p3,1,3.1e-05,17.356915,[39 75] ; [146 107],[57.46594005 56.53405995] ; [127.53405995 125.46594005],1
4,r1,1,7.5e-05,15.671083,[66 47] ; [200  55],[81.67934783 31.32065217] ; [184.32065217  70.67934783],1
1,v1,1,8.7e-05,15.397212,[37 77] ; [136 113],[54.33057851 59.66942149] ; [118.66942149 130.33057851],1
2,v2,1,0.000351,12.775249,[38 74] ; [132 111],[53.63380282 58.36619718] ; [116.36619718 126.63380282],1
0,a5,1,0.000441,12.351124,[68 47] ; [197  59],[82.14285714 32.85714286] ; [182.85714286  73.14285714],1
10,s2,1,0.000459,12.273533,[34 80] ; [125 128],[49.38964578 64.61035422] ; [109.61035422 143.38964578],1
12,s7,1,0.000476,12.208496,[29 76] ; [116 127],[43.75 61.25] ; [101.25 141.75],1
11,s6,1,0.00057,11.871017,[49 64] ; [155  92],[64.03333333 48.96666667] ; [139.96666667 107.03333333],1
