,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,0.0,37.887648,[68 34] ; [124 252],[40.9707113 61.0292887] ; [151.0292887 224.9707113],1
1,p4,1,0.0,28.081249,[66 38] ; [132 249],[42.45773196 61.54226804] ; [155.54226804 225.45773196],1
0,p2,1,0.000149,14.385745,[87 17] ; [245 137],[71.04526749 32.95473251] ; [260.95473251 121.04526749],1
