,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,2e-06,22.391329,[ 34 131] ; [28 23],[ 47.36111111 117.63888889] ; [14.63888889 36.36111111],1
1,p7,1,3.4e-05,17.167792,[ 56 109] ; [34 17],[68.75 96.25] ; [21.25 29.75],1
0,p4,1,0.000169,14.143831,[ 53 115] ; [31 20],[ 64.43835616 103.56164384] ; [19.56164384 31.43835616],1
