,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.0,27.390225,[24 22] ; [ 9 76],[11.58778626 34.41221374] ; [21.41221374 63.58778626],1
0,p2,1,0.000156,14.296538,[33 13] ; [32 54],[22.65151515 23.34848485] ; [42.34848485 43.65151515],1
