,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
23,p9,1,0.0,315.997426,[32 75] ; [600  31],[91.63143631 15.36856369] ; [540.36856369  90.63143631],1
19,p2,1,0.0,76.134503,[59 52] ; [550  79],[91.35 19.65] ; [517.65 111.35],1
11,r3,1,0.0,68.632203,[85 26] ; [609  19],[104.24086604   6.75913396] ; [589.75913396  38.24086604],1
14,n6,1,0.0,61.00128,[65 46] ; [554  74],[92.97564276 18.02435724] ; [526.02435724 101.97564276],1
12,r4,1,0.0,60.967221,[72 39] ; [578  54],[97.10632571 13.89367429] ; [552.89367429  79.10632571],1
8,v4,1,0.0,43.344974,[88 22] ; [602  23],[103.26530612   6.73469388] ; [586.73469388  38.26530612],1
22,p8,1,0.0,38.011322,[30 79] ; [370 253],[59.56284153 49.43715847] ; [340.43715847 282.56284153],1
13,n5,1,0.0,34.666975,[61 50] ; [506 122],[85.16508796 25.83491204] ; [481.83491204 146.16508796],1
21,p7,1,0.0,26.303601,[48 62] ; [424 191],[71.6137931 38.3862069] ; [400.3862069 214.6137931],1
20,p4,1,1e-06,24.906313,[44 67] ; [407 222],[67.65 43.35] ; [383.35 245.65],1
10,r2,1,1e-06,24.119042,[89 21] ; [589  35],[101.60762943   8.39237057] ; [576.39237057  47.60762943],1
18,s8,1,8e-06,19.911854,[26 82] ; [296 332],[47.25 60.75] ; [274.75 353.25],1
9,r1,1,1.7e-05,18.517152,[69 42] ; [506 122],[86.36671177 24.63328823] ; [488.63328823 139.36671177],1
3,a7,1,2.4e-05,17.837969,[59 52] ; [461 170],[77.78975741 33.21024259] ; [442.21024259 188.78975741],1
1,a5,1,3.5e-05,17.121708,[64 47] ; [483 149],[81.71870794 29.28129206] ; [465.28129206 166.71870794],1
6,v1,1,4.4e-05,16.68377,[40 71] ; [348 262],[59.73370319 51.26629681] ; [328.26629681 281.73370319],1
7,v2,1,4.5e-05,16.654009,[41 67] ; [356 246],[60.38873239 47.61126761] ; [336.61126761 265.38873239],1
2,a6,1,4.5e-05,16.64687,[55 55] ; [440 190],[73.58108108 36.41891892] ; [421.41891892 208.58108108],1
16,s6,1,5e-05,16.447162,[53 55] ; [427 191],[71.40495868 36.59504132] ; [408.59504132 209.40495868],1
17,s7,1,8.8e-05,15.388319,[30 70] ; [311 297],[48.16384181 51.83615819] ; [292.83615819 315.16384181],1
0,a3,1,0.000138,14.535267,[61 50] ; [460 171],[77.9393531 33.0606469] ; [443.0606469 187.9393531],1
15,s2,1,0.000267,13.286019,[37 73] ; [328 297],[54.62585034 55.37414966] ; [310.37414966 314.62585034],1
5,d3,1,0.000597,11.784618,[58 52] ; [438 193],[73.63022942 36.36977058] ; [422.36977058 208.63022942],1
4,d1,1,0.000901,11.020245,[48 63] ; [380 252],[63.94078062 47.05921938] ; [364.05921938 267.94078062],1
