,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,8.2e-05,15.512491,[184 115] ; [15 33],[171.47262248 127.52737752] ; [27.52737752 20.47262248],1
1,p11,1,0.000431,12.3909,[268  31] ; [35 14],[260.3362069  38.6637931] ; [42.6637931  6.3362069],1
