,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,r4,1,0.000312,12.99579,[69 46] ; [55  9],[79.66480447 35.33519553] ; [44.33519553 19.66480447],1
3,p2,1,0.000423,12.427518,[55 60] ; [48 16],[66.17318436 48.82681564] ; [36.82681564 27.17318436],1
0,r3,1,0.000587,11.815591,[82 32] ; [59  4],[90.81355932 23.18644068] ; [50.18644068 12.81355932],1
2,n6,1,0.000823,11.188546,[61 52] ; [50 13],[71.26704545 41.73295455] ; [39.73295455 23.26704545],1
