,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,0.0,69.346788,[97 48] ; [ 83 234],[56.49350649 88.50649351] ; [123.50649351 193.49350649],1
3,p7,1,3e-05,17.444816,[78 67] ; [103 207],[57.68131868 87.31868132] ; [123.31868132 186.68131868],1
2,p6,1,0.00014,14.502633,[47 97] ; [ 53 262],[ 31.37254902 112.62745098] ; [ 68.62745098 246.37254902],1
0,b1,1,0.000476,12.207384,[76 69] ; [112 206],[58.87688985 86.12311015] ; [129.12311015 188.87688985],1
