,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,30.449053,[ 67 183] ; [48 31],[ 87.38601824 162.61398176] ; [27.61398176 51.38601824],1
1,p7,1,1e-06,23.853046,[ 94 150] ; [53 22],[112.43887147 131.56112853] ; [34.56112853 40.43887147],1
