,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
24,p10,1,0.0,93.56162,[508 103] ; [122 118],[452.3266745 158.6733255] ; [177.6733255  62.3266745],1
23,p9,1,0.0,80.475027,[531  81] ; [140  98],[483.12 128.88] ; [187.88  50.12],1
7,r3,1,0.0,58.830468,[593  25] ; [196  50],[564.35416667  53.64583333] ; [224.64583333  21.35416667],1
8,r4,1,0.0,54.828315,[567  54] ; [179  70],[532.48965517  88.51034483] ; [213.51034483  35.48965517],1
17,p2,1,0.0,47.313806,[514 103] ; [152  95],[475.60416667 141.39583333] ; [190.39583333  56.60416667],1
11,n6,1,0.0,44.556898,[527  89] ; [160  85],[491.51219512 124.48780488] ; [195.48780488  49.51219512],1
16,s8,1,0.0,36.963361,[339 279] ; [ 79 168],[298.64046243 319.35953757] ; [119.35953757 127.64046243],1
22,p8,1,0.0,36.110306,[323 286] ; [ 74 170],[283.43845252 325.56154748] ; [113.56154748 130.43845252],1
4,v4,1,0.0,35.978844,[592  26] ; [207  40],[570.84624277  47.15375723] ; [228.15375723  18.84624277],1
19,p4,1,0.0,32.240808,[395 222] ; [105 140],[357.88863109 259.11136891] ; [142.11136891 102.88863109],1
13,s3,1,0.0,31.846537,[425 185] ; [121 125],[389.08878505 220.91121495] ; [156.91121495  89.08878505],1
21,p7,1,0.0,30.3054,[393 206] ; [109 133],[357.54815696 241.45184304] ; [144.45184304  97.54815696],1
12,s2,1,0.0,29.82859,[403 214] ; [112 136],[367.34682081 249.65317919] ; [147.65317919 100.34682081],1
15,s7,1,1e-06,24.645114,[359 237] ; [ 93 134],[327.32928311 268.67071689] ; [124.67071689 102.32928311],1
10,n5,1,1e-06,24.202397,[476 141] ; [149  97],[446.8424102 170.1575898] ; [178.1575898  67.8424102],1
9,n4,1,3e-06,21.637751,[481 138] ; [153  93],[453.69479769 165.30520231] ; [180.30520231  65.69479769],1
18,p3,1,1.9e-05,18.252626,[323 295] ; [ 89 157],[294.69444444 323.30555556] ; [117.30555556 128.69444444],1
5,r1,1,2.4e-05,17.860877,[508 110] ; [170  76],[484.95833333 133.04166667] ; [193.04166667  52.95833333],1
2,v1,1,5.3e-05,16.340352,[341 262] ; [102 145],[314.26941176 288.73058824] ; [128.73058824 118.26941176],1
0,b1,1,7.5e-05,15.685228,[238 383] ; [132 117],[264.10344828 356.89655172] ; [105.89655172 143.10344828],1
14,s5,1,0.000137,14.541326,[260 341] ; [ 68 167],[235.79904306 365.20095694] ; [ 92.20095694 142.79904306],1
25,p12,1,0.00018,14.030671,[ 62 555] ; [  6 240],[ 48.61645423 568.38354577] ; [ 19.38354577 226.61645423],1
3,v2,1,0.000215,13.690939,[340 254] ; [103 136],[315.8967587 278.1032413] ; [127.1032413 111.8967587],1
1,a5,1,0.000484,12.176505,[462 158] ; [156  93],[440.92059839 179.07940161] ; [177.07940161  71.92059839],1
20,p6,1,0.000582,11.831412,[243 367] ; [ 66 176],[221.23239437 388.76760563] ; [ 87.76760563 154.23239437],1
6,r2,1,0.000914,10.993878,[580  33] ; [215  29],[568.65227538  44.34772462] ; [226.34772462  17.65227538],1
