,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,1e-06,24.675451,[59 17] ; [33 52],[43.42857143 32.57142857] ; [48.57142857 36.42857143],1
2,p6,1,3e-06,21.690034,[25 50] ; [ 4 80],[13.67924528 61.32075472] ; [15.32075472 68.67924528],1
3,p8,1,3e-06,21.610268,[33 41] ; [10 75],[20.01257862 53.98742138] ; [22.98742138 62.01257862],1
1,p3,1,3e-06,21.555557,[35 41] ; [11 74],[21.71428571 54.28571429] ; [24.28571429 60.71428571],1
