,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,29.67033,[ 11 145] ; [29 55],[ 26. 130.] ; [14. 70.],1
3,p12,1,0.0,28.467914,[  6 150] ; [23 61],[ 18.85 137.15] ; [10.15 73.85],1
2,p8,1,6e-06,20.514478,[83 71] ; [70 14],[99. 55.] ; [54. 30.],1
1,p6,1,0.000118,14.819996,[64 91] ; [56 27],[78.1512605 76.8487395] ; [41.8487395 41.1512605],1
