,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,29.024943,[ 26 114] ; [34 26],[42. 98.] ; [18. 42.],1
2,p8,1,6.8e-05,15.858761,[ 21 120] ; [24 35],[ 31.725 109.275] ; [13.275 45.725],1
1,p6,1,0.000347,12.798104,[ 17 122] ; [20 39],[ 25.97474747 113.02525253] ; [11.02525253 47.97474747],1
