,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
20,p9,1,0.0,223.155986,[43 67] ; [399  13],[93.14176245 16.85823755] ; [348.85823755  63.14176245],1
9,n6,1,0.0,36.394952,[75 35] ; [371  38],[94.52793834 15.47206166] ; [351.47206166  57.52793834],1
15,p2,1,0.0,35.626334,[74 39] ; [366  46],[94.7047619 18.2952381] ; [345.2952381  66.7047619],1
4,v4,1,0.0,35.26202,[93 19] ; [399  10],[105.76583493   6.23416507] ; [386.23416507  22.76583493],1
12,s6,1,0.0,29.111161,[49 64] ; [288 119],[73.23269231 39.76730769] ; [263.76730769 143.23269231],1
17,p4,1,1e-06,24.903349,[41 71] ; [258 152],[64.1532567 47.8467433] ; [234.8467433 175.1532567],1
18,p7,1,1e-06,24.255241,[45 66] ; [266 135],[67.42382812 43.57617188] ; [243.57617188 157.42382812],1
19,p8,1,1e-06,23.798391,[35 76] ; [234 172],[57.75435203 53.24564797] ; [211.24564797 194.75435203],1
5,r3,1,1e-06,23.611744,[96 15] ; [402  10],[105.69407266   5.30592734] ; [392.30592734  19.69407266],1
16,p3,1,1e-06,23.530631,[28 84] ; [209 203],[50.65648855 61.34351145] ; [186.34351145 225.65648855],1
6,r4,1,1e-06,23.224954,[86 27] ; [381  32],[100.32509506  12.67490494] ; [366.67490494  46.32509506],1
8,n5,1,2e-06,22.955963,[61 50] ; [318  91],[80.90192308 30.09807692] ; [298.09807692 110.90192308],1
14,s8,1,1e-05,19.497668,[25 88] ; [185 225],[45.37284895 67.62715105] ; [164.62715105 245.37284895],1
7,n4,1,4.7e-05,16.577773,[66 45] ; [324  89],[82.61450382 28.38549618] ; [307.38549618 105.61450382],1
2,v1,1,7.7e-05,15.638046,[40 70] ; [231 170],[58.33659491 51.66340509] ; [212.66340509 188.33659491],1
10,s2,1,0.000145,14.430342,[35 76] ; [212 197],[52.725 58.275] ; [194.275 214.725],1
13,s7,1,0.000549,11.941523,[35 75] ; [201 198],[51.00196464 58.99803536] ; [184.99803536 214.00196464],1
1,d5,1,0.000629,11.689347,[77 36] ; [341  71],[89.96952381 23.03047619] ; [328.03047619  83.96952381],1
11,s5,1,0.000787,11.270945,[21 89] ; [144 256],[35.58823529 74.41176471] ; [129.41176471 270.58823529],1
0,a5,1,0.000956,10.91152,[66 47] ; [307 106],[80.13117871 32.86882129] ; [292.86882129 120.13117871],1
3,v2,1,0.000973,10.877313,[48 62] ; [243 154],[63.13609467 46.86390533] ; [227.86390533 169.13609467],1
