,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p2,1,1e-05,19.490542,[67 26] ; [408  49],[80.31818182 12.68181818] ; [394.68181818  62.31818182],1
1,p6,1,0.000366,12.699998,[22 66] ; [207 248],[37.11233886 50.88766114] ; [191.88766114 263.11233886],1
