,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p7,1,2e-06,23.062541,[48 18] ; [41 74],[32.45303867 33.54696133] ; [56.54696133 58.45303867],1
0,p2,1,6e-06,20.574595,[55 10] ; [61 59],[40.75675676 24.24324324] ; [75.24324324 44.75675676],1
3,p8,1,1.3e-05,19.01864,[37 28] ; [29 89],[23.44262295 41.55737705] ; [42.55737705 75.44262295],1
1,p6,1,0.000626,11.696762,[23 42] ; [ 16 101],[13.92857143 51.07142857] ; [25.07142857 91.92857143],1
