,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.0,54.60338,[35 69] ; [225  79],[66.2745098 37.7254902] ; [193.7254902 110.2745098],1
1,p6,1,0.0,36.657924,[23 77] ; [176 128],[49.25742574 50.74257426] ; [149.74257426 154.25742574],1
2,p7,1,0.000332,12.882391,[72 26] ; [268  35],[83.09226933 14.90773067] ; [256.90773067  46.09226933],1
