,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.0,67.746153,[104  49] ; [ 87 224],[62.98060345 90.01939655] ; [128.01939655 182.98060345],1
1,p7,1,7.2e-05,15.761215,[83 70] ; [106 198],[63.27571116 89.72428884] ; [125.72428884 178.27571116],1
