,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p10,1,0.0,27.805318,[390  17] ; [56 15],[379.75313808  27.24686192] ; [66.24686192  4.75313808],1
1,p8,1,4e-06,21.420317,[282 122] ; [30 42],[264.80672269 139.19327731] ; [47.19327731 24.80672269],1
0,p7,1,0.000822,11.190696,[315  88] ; [43 29],[303.73473684  99.26526316] ; [54.26526316 17.73473684],1
