,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p10,1,7.2e-05,15.755781,[24 49] ; [52 28],[36.26143791 36.73856209] ; [39.73856209 40.26143791],1
0,p9,1,0.0001,15.130657,[26 45] ; [54 25],[37.86666667 33.13333333] ; [42.13333333 36.86666667],1
