,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p7,1,0.0,34.531608,[63 24] ; [115 196],[38.90954774 48.09045226] ; [139.09045226 171.90954774],1
2,p8,1,0.000793,11.257917,[39 48] ; [ 83 234],[26.27227723 60.72772277] ; [ 95.72772277 221.27227723],1
0,p1,1,0.000882,11.060167,[12 76] ; [ 13 308],[ 5.37897311 82.62102689] ; [ 19.62102689 301.37897311],1
