,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p11,1,7e-05,15.799778,[215 108] ; [63 72],[196.05676856 126.94323144] ; [81.94323144 53.05676856],1
0,p9,1,8.3e-05,15.486882,[220  92] ; [65 63],[202.09090909 109.90909091] ; [82.90909091 45.09090909],1
1,p10,1,0.000905,11.012681,[206 113] ; [63 69],[190.26829268 128.73170732] ; [78.73170732 53.26829268],1
