,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p10,1,0.0,56.833333,[114  16] ; [ 7 24],[97.70186335 32.29813665] ; [23.29813665  7.70186335],1
1,p11,1,0.000199,13.843161,[99 31] ; [13 18],[90.43478261 39.56521739] ; [21.56521739  9.43478261],1
