,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p6,1,0.0,48.502012,[146 174] ; [ 50 220],[106.30508475 213.69491525] ; [ 89.69491525 180.30508475],1
2,p8,1,0.0,40.467109,[209 114] ; [104 166],[170.48735245 152.51264755] ; [142.51264755 127.48735245],1
1,p7,1,0.0,38.119517,[251  71] ; [144 123],[215.94227504 106.05772496] ; [179.05772496  87.94227504],1
3,p10,1,0.000829,11.174474,[277  45] ; [207  68],[261.0519263  60.9480737] ; [222.9480737  52.0519263],1
