,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,66.424666,[207  45] ; [43 67],[174.03314917  77.96685083] ; [75.96685083 34.03314917],1
6,p3,1,0.0,33.292297,[146 107] ; [28 84],[120.60821918 132.39178082] ; [53.39178082 58.60821918],1
9,p7,1,0.0,32.400467,[180  70] ; [45 66],[155.81717452  94.18282548] ; [69.18282548 41.81717452],1
10,p8,1,1e-06,24.233522,[149 101] ; [35 76],[127.42382271 122.57617729] ; [56.57617729 54.42382271],1
7,p4,1,1e-06,23.232968,[162  92] ; [41 71],[140.87978142 113.12021858] ; [62.12021858 49.87978142],1
2,n5,1,2e-06,22.724667,[203  53] ; [61 50],[184.15258856  71.84741144] ; [79.84741144 31.15258856],1
4,s8,1,9e-06,19.722108,[118 135] ; [25 88],[ 98.84972678 154.15027322] ; [44.15027322 68.84972678],1
1,n4,1,1e-05,19.432627,[208  48] ; [66 45],[191.1280654  64.8719346] ; [82.8719346 28.1280654],1
8,p6,1,0.000106,15.030521,[105 144] ; [23 87],[ 88.77994429 160.22005571] ; [39.22005571 70.77994429],1
0,a5,1,0.000284,13.170001,[197  59] ; [66 47],[182.46070461  73.53929539] ; [80.53929539 32.46070461],1
5,p2,1,0.000326,12.913502,[208  44] ; [74 39],[194.69589041  57.30410959] ; [87.30410959 25.69589041],1
3,s6,1,0.00057,11.871017,[155  92] ; [49 64],[139.96666667 107.03333333] ; [64.03333333 48.96666667],1
