,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
15,p9,1,0.0,142.760801,[631  91] ; [44 67],[585.05402161 136.94597839] ; [89.94597839 21.05402161],1
10,p2,1,0.0,29.256403,[620 105] ; [74 40],[599.70202622 125.29797378] ; [94.29797378 19.70202622],1
13,p7,1,0.0,27.866414,[469 240] ; [45 67],[443.88063337 265.11936663] ; [70.11936663 41.88063337],1
11,p3,1,0.0,25.268872,[365 363] ; [28 85],[340.19500595 387.80499405] ; [52.80499405 60.19500595],1
14,p8,1,1e-06,23.659967,[401 316] ; [35 77],[377.09529554 339.90470446] ; [58.90470446 53.09529554],1
12,p4,1,1e-06,23.530082,[439 286] ; [41 72],[415.27446301 309.72553699] ; [64.72553699 48.27446301],1
1,v4,1,1e-06,23.41142,[692  35] ; [94 19],[680.26428571  46.73571429] ; [105.73571429   7.26428571],1
5,n5,1,3e-06,21.872124,[554 172] ; [62 50],[533.67064439 192.32935561] ; [82.32935561 29.67064439],1
6,n6,1,4e-06,21.106186,[624 103] ; [76 35],[607.27923628 119.72076372] ; [92.72076372 18.27923628],1
8,s6,1,9e-06,19.66115,[469 247] ; [50 64],[447.71566265 268.28433735] ; [71.28433735 42.71566265],1
9,s8,1,1.2e-05,19.186149,[317 410] ; [25 89],[295.64090369 431.35909631] ; [46.35909631 67.64090369],1
4,n4,1,1.8e-05,18.384726,[574 158] ; [67 45],[555.93838863 176.06161137] ; [85.06161137 26.93838863],1
2,r3,1,1.9e-05,18.258157,[701  28] ; [97 15],[691.72651605  37.27348395] ; [106.27348395   5.72651605],1
3,r4,1,8.2e-05,15.507408,[656  78] ; [87 27],[643.11556604  90.88443396] ; [99.88443396 14.11556604],1
7,s2,1,0.000494,12.138092,[354 370] ; [35 77],[336.88516746 387.11483254] ; [52.11483254 59.88516746],1
0,v1,1,0.000742,11.381618,[386 327] ; [41 70],[369.47936893 343.52063107] ; [57.52063107 53.47936893],1
