,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,0.0,78.6318,[ 89 238] ; [112  50],[134.41104294 192.58895706] ; [66.58895706 95.41104294],1
2,p7,1,4.3e-05,16.721296,[108 212] ; [86 76],[128.7966805 191.2033195] ; [65.2033195 96.7966805],1
0,b1,1,0.000713,11.455144,[118 211] ; [84 78],[135.35234216 193.64765784] ; [66.64765784 95.35234216],1
