,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
22,p9,1,0.0,213.773284,[631  91] ; [32 83],[571.90681004 150.09318996] ; [91.09318996 23.90681004],1
17,p2,1,0.0,88.862906,[620 105] ; [57 61],[582.23606168 142.76393832] ; [94.76393832 23.23606168],1
6,r3,1,0.0,84.566541,[701  28] ; [85 32],[677.29787234  51.70212766] ; [108.70212766   8.29787234],1
7,r4,1,0.0,65.730235,[656  78] ; [72 46],[627.17370892 106.82629108] ; [100.82629108  17.17370892],1
10,n6,1,0.0,62.666829,[624 103] ; [64 52],[593.32858837 133.67141163] ; [94.67141163 21.32858837],1
3,v4,1,0.0,58.101847,[692  35] ; [87 29],[671.80664294  55.19335706] ; [107.19335706   8.80664294],1
20,p7,1,0.0,38.957484,[469 240] ; [42 75],[438.61864407 270.38135593] ; [72.38135593 44.61864407],1
21,p8,1,0.0,38.241735,[401 316] ; [29 87],[370.12004802 346.87995198] ; [59.87995198 56.12004802],1
16,s8,1,0.0,28.974225,[317 410] ; [20 96],[290.62752076 436.37247924] ; [46.37247924 69.62752076],1
0,b1,1,2e-06,22.324996,[256 478] ; [68 50],[279.12676056 454.87323944] ; [44.87323944 73.12676056],1
18,p4,1,3e-06,21.685339,[439 286] ; [44 73],[415.8847981 309.1152019] ; [67.1152019 49.8847981],1
4,r1,1,3e-06,21.66767,[579 152] ; [69 47],[559.25383707 171.74616293] ; [88.74616293 27.25383707],1
9,n5,1,4e-06,21.11507,[554 172] ; [65 51],[533.72209026 192.27790974] ; [85.27790974 30.72209026],1
2,v2,1,7e-06,20.200291,[404 301] ; [40 75],[381.73170732 323.26829268] ; [62.26829268 52.73170732],1
8,n4,1,1e-05,19.580237,[574 158] ; [69 47],[555.04245283 176.95754717] ; [87.95754717 28.04245283],1
14,s6,1,2e-05,18.23039,[469 247] ; [52 64],[448.36057692 267.63942308] ; [72.63942308 43.36057692],1
5,r2,1,2.5e-05,17.786697,[676  48] ; [94 21],[664.45768772  59.54231228] ; [105.54231228   9.45768772],1
1,v1,1,3e-05,17.410369,[386 327] ; [39 78],[365.09036145 347.90963855] ; [59.90963855 57.09036145],1
19,p6,1,6.2e-05,16.039639,[263 454] ; [20 94],[244.17689531 472.82310469] ; [38.82310469 75.17689531],1
13,s5,1,7.4e-05,15.705353,[236 471] ; [17 97],[217.86967113 489.13032887] ; [35.13032887 78.86967113],1
11,s1,1,0.000426,12.412711,[ 20 701] ; [ 11 106],[ 26.67183771 694.32816229] ; [  4.32816229 112.67183771],1
15,s7,1,0.000484,12.174432,[334 368] ; [32 76],[317.2 384.8] ; [48.8 59.2],1
12,s2,1,0.00051,12.07733,[354 370] ; [37 80],[336.60404281 387.39595719] ; [54.39595719 62.60404281],1
