,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p9,1,0.0,89.455379,[107  14] ; [32 83],[71.26694915 49.73305085] ; [67.73305085 47.26694915],1
7,s8,1,2e-06,22.471208,[56 66] ; [20 96],[38.95798319 83.04201681] ; [37.04201681 78.95798319],1
4,s5,1,5e-06,20.680321,[48 66] ; [17 97],[32.5 81.5] ; [32.5 81.5],1
8,p2,1,1.9e-05,18.336483,[91 30] ; [57 61],[74.92887029 46.07112971] ; [73.07112971 44.92887029],1
3,s2,1,6.3e-05,16.019373,[70 52] ; [37 80],[54.61924686 67.38075314] ; [52.38075314 64.61924686],1
5,s6,1,0.000326,12.914566,[81 38] ; [52 64],[67.34893617 51.65106383] ; [65.65106383 50.34893617],1
0,v4,1,0.000464,12.253641,[112  10] ; [87 29],[102.00840336  19.99159664] ; [96.99159664 19.00840336],1
2,n6,1,0.000488,12.161338,[92 28] ; [64 52],[79.3220339 40.6779661] ; [76.6779661 39.3220339],1
9,p6,1,0.000564,11.890784,[46 76] ; [20 94],[34.11864407 87.88135593] ; [31.88135593 82.11864407],1
1,r4,1,0.000572,11.866454,[99 23] ; [72 46],[86.925 35.075] ; [84.075 33.925],1
6,s7,1,0.00065,11.626895,[59 54] ; [32 76],[46.52941176 66.47058824] ; [44.47058824 63.52941176],1
