,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,0.000162,14.226239,[37  4] ; [18 17],[29.67105263 11.32894737] ; [25.32894737  9.67105263],1
0,p7,1,0.000348,12.793703,[37  3] ; [20 15],[30.4  9.6] ; [26.6  8.4],1
