,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
16,p9,1,0.0,181.118262,[600  31] ; [66 60],[555.14663144  75.85336856] ; [110.85336856  15.14663144],1
7,r3,1,0.0,83.444865,[609  19] ; [98 33],[584.97496706  43.02503294] ; [122.02503294   8.97496706],1
8,r4,1,0.0,60.007166,[578  54] ; [88 44],[550.93193717  81.06806283] ; [115.06806283  16.93193717],1
12,p2,1,0.0,56.804812,[550  79] ; [78 52],[520.43741765 108.56258235] ; [107.56258235  22.43741765],1
15,p8,1,0.0,53.684022,[370 253] ; [31 98],[332.21143617 290.78856383] ; [68.78856383 60.21143617],1
11,n6,1,0.0,50.40496,[554  74] ; [82 48],[526.92348285 101.07651715] ; [109.07651715  20.92348285],1
4,v4,1,0.0,39.815062,[602  23] ; [107  24],[586.14417989  38.85582011] ; [122.85582011   8.14417989],1
14,p7,1,0.0,26.881578,[424 191] ; [58 71],[398.42741935 216.57258065] ; [83.57258065 45.42741935],1
10,n5,1,7e-06,20.071219,[506 122] ; [82 49],[486.51383399 141.48616601] ; [101.48616601  29.51383399],1
3,v2,1,8e-06,19.890967,[356 246] ; [49 81],[333.07377049 268.92622951] ; [71.92622951 58.07377049],1
1,a6,1,1.8e-05,18.432031,[440 190] ; [66 65],[418.89618922 211.10381078] ; [87.10381078 43.89618922],1
13,p4,1,1.9e-05,18.323857,[407 222] ; [58 72],[385.35573123 243.64426877] ; [79.64426877 50.35573123],1
6,r2,1,3.5e-05,17.123916,[589  35] ; [110  21],[577.71655629  46.28344371] ; [121.28344371   9.71655629],1
9,n4,1,6.1e-05,16.062115,[508 124] ; [85 47],[490.54450262 141.45549738] ; [102.45549738  29.54450262],1
0,a5,1,0.000344,12.8159,[483 149] ; [81 51],[466.55497382 165.44502618] ; [97.44502618 34.55497382],1
5,r1,1,0.000439,12.356442,[506 122] ; [88 44],[490.83157895 137.16842105] ; [103.16842105  28.83157895],1
2,v1,1,0.00074,11.387138,[348 262] ; [54 78],[330.4851752 279.5148248] ; [71.5148248 60.4851752],1
