,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,1e-06,23.257301,[36 23] ; [11 50],[23.10833333 35.89166667] ; [23.89166667 37.10833333],1
0,p2,1,0.000427,12.408158,[53  6] ; [38 23],[44.74166667 14.25833333] ; [46.25833333 14.74166667],1
