,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p10,1,0.0,75.196212,[475 114] ; [122 118],[424.16525935 164.83474065] ; [172.83474065  67.16525935],1
10,p9,1,0.0,71.541125,[505  84] ; [140  98],[459.37726723 129.62273277] ; [185.62273277  52.37726723],1
2,r3,1,0.0,45.932766,[566  31] ; [196  50],[539.63701068  57.36298932] ; [222.36298932  23.63701068],1
6,p2,1,0.0,42.101012,[492 105] ; [152  95],[455.53080569 141.46919431] ; [188.46919431  58.53080569],1
5,n6,1,0.0,41.715416,[505  88] ; [160  85],[470.57875895 122.42124105] ; [194.42124105  50.57875895],1
3,r4,1,0.0,33.931626,[531  71] ; [179  70],[502.25616921  99.74383079] ; [207.74383079  41.25616921],1
9,p8,1,0.0,29.139434,[299 290] ; [ 74 170],[263.74189676 325.25810324] ; [109.25810324 134.74189676],1
1,v4,1,2e-06,22.954259,[561  35] ; [207  40],[542.97508897  53.02491103] ; [225.02491103  21.97508897],1
8,p7,1,0.000133,14.604714,[345 234] ; [109 133],[320.17783191 258.82216809] ; [133.82216809 108.17783191],1
0,v2,1,0.000201,13.820548,[331 246] ; [103 136],[306.88480392 270.11519608] ; [127.11519608 111.88480392],1
7,p4,1,0.00088,11.064984,[329 264] ; [105 140],[307.11455847 285.88544153] ; [126.88544153 118.11455847],1
4,n4,1,0.000883,11.057207,[440 157] ; [153  93],[419.95373665 177.04626335] ; [173.04626335  72.95373665],1
