,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p6,1,1.3e-05,19.051942,[16 60] ; [152 160],[32.90721649 43.09278351] ; [135.09278351 176.90721649],1
0,p3,1,5.7e-05,16.194358,[29 47] ; [200 115],[44.51150895 31.48849105] ; [184.48849105 130.51150895],1
2,p11,1,0.000863,11.099974,[55 22] ; [274  41],[64.625 12.375] ; [264.375  50.625],1
