,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p3,1,0.000532,11.998572,[86 34] ; [78 75],[72.08791209 47.91208791] ; [91.91208791 61.08791209],1
1,p9,1,0.000745,11.373083,[95 24] ; [143  10],[104.125  14.875] ; [133.875  19.125],1
