,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p4,1,0.0,32.372262,[64 32] ; [ 42 101],[42.57740586 53.42259414] ; [63.42259414 79.57740586],1
2,p7,1,0.000458,12.280978,[59 37] ; [54 87],[45.7721519 50.2278481] ; [67.2278481 73.7721519],1
0,p2,1,0.000796,11.25,[76 20] ; [84 60],[64. 32.] ; [96. 48.],1
