,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p3,1,0.0,75.059542,[57 42] ; [ 19 169],[26.21602787 72.78397213] ; [ 49.78397213 138.21602787],1
0,p2,1,2.9e-05,17.458275,[75 24] ; [95 94],[58.4375 40.5625] ; [111.5625  77.4375],1
