,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p6,1,1e-06,25.011453,[18 57] ; [189 149],[37.59079903 37.40920097] ; [169.40920097 168.59079903],1
0,p3,1,1e-06,23.208859,[31 44] ; [240 100],[48.97590361 26.02409639] ; [222.02409639 117.97590361],1
3,p11,1,2.2e-05,17.984706,[56 19] ; [313  28],[66.52644231  8.47355769] ; [302.47355769  38.52644231],1
1,p4,1,2.9e-05,17.485651,[42 33] ; [269  71],[56.20481928 18.79518072] ; [254.79518072  85.20481928],1
