,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
3,p9,1,0.0,81.738558,[424  46] ; [29 33],[400.20676692  69.79323308] ; [52.79323308  9.20676692],1
0,p3,1,3.3e-05,17.233816,[219 256] ; [12 52],[203.57142857 271.42857143] ; [27.42857143 36.57142857],1
2,p8,1,5.8e-05,16.163612,[252 215] ; [17 46],[237.0245283 229.9754717] ; [31.9754717 31.0245283],1
1,p4,1,0.000221,13.646873,[277 194] ; [22 42],[263.2317757 207.7682243] ; [35.7682243 28.2317757],1
