,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p9,1,9.1e-05,15.308669,[64 62] ; [220  92],[81.69863014 44.30136986] ; [202.30136986 109.69863014],1
2,p11,1,0.000134,14.585877,[63 70] ; [215 108],[81.08333333 51.91666667] ; [196.91666667 126.08333333],1
1,p10,1,0.000549,11.941819,[61 69] ; [206 113],[77.30512249 52.69487751] ; [189.69487751 129.30512249],1
