,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p7,1,0.0,64.858341,[52 14] ; [19 91],[26.625 39.375] ; [44.375 65.625],1
1,p8,1,0.0,33.596823,[33 32] ; [ 13 101],[16.70391061 48.29608939] ; [29.29608939 84.70391061],1
2,p9,1,1.1e-05,19.349551,[55 10] ; [55 52],[41.56976744 23.43023256] ; [68.43023256 38.56976744],1
4,p11,1,6.7e-05,15.905809,[52 15] ; [54 60],[39.23756906 27.76243094] ; [66.76243094 47.23756906],1
3,p10,1,0.000142,14.480107,[49 16] ; [51 60],[36.93181818 28.06818182] ; [63.06818182 47.93181818],1
