,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
21,p9,1,0.0,212.090927,[30 82] ; [424  46],[87.36769759 24.63230241] ; [366.63230241 103.36769759],1
16,p2,1,0.0,87.321641,[55 60] ; [412  61],[91.33503401 23.66496599] ; [375.66496599  97.33503401],1
5,r3,1,0.0,80.59209,[82 32] ; [461  14],[105.09677419   8.90322581] ; [437.90322581  37.09677419],1
9,n6,1,0.0,77.689151,[61 52] ; [420  51],[93.07020548 19.92979452] ; [387.92979452  83.07020548],1
6,r4,1,0.0,66.753536,[69 46] ; [433  45],[97.35244519 17.64755481] ; [404.64755481  73.35244519],1
2,v4,1,0.0,56.833086,[84 29] ; [454  19],[103.7440273   9.2559727] ; [434.2559727  38.7440273],1
20,p8,1,0.0,34.927382,[26 87] ; [252 215],[54.16206897 58.83793103] ; [223.83793103 243.16206897],1
19,p7,1,0.0,27.253153,[41 73] ; [289 170],[65.65445026 48.34554974] ; [264.34554974 194.65445026],1
15,s8,1,0.0,26.581503,[18 95] ; [199 275],[41.77342419 71.22657581] ; [175.22657581 298.77342419],1
4,r2,1,1e-06,23.684361,[91 21] ; [447  24],[103.35506003   8.64493997] ; [434.64493997  36.35506003],1
1,v2,1,2e-06,22.584173,[38 74] ; [272 190],[60.48780488 51.51219512] ; [249.51219512 212.48780488],1
3,r1,1,2e-06,22.25127,[66 47] ; [379  97],[85.37351443 27.62648557] ; [359.62648557 116.37351443],1
13,s6,1,3e-06,21.587904,[49 64] ; [314 155],[70.47938144 42.52061856] ; [292.52061856 176.47938144],1
17,p4,1,1.1e-05,19.309386,[41 73] ; [277 194],[61.96923077 52.03076923] ; [256.03076923 214.96923077],1
8,n5,1,3.2e-05,17.313004,[62 51] ; [351 119],[80.04974271 32.95025729] ; [332.95025729 137.04974271],1
0,v1,1,4.2e-05,16.801314,[37 77] ; [250 214],[56.60553633 57.39446367] ; [230.39446367 233.60553633],1
7,n4,1,6.5e-05,15.958572,[66 47] ; [366 110],[82.87945671 30.12054329] ; [349.12054329 126.87945671],1
12,s5,1,0.0001,15.141768,[17 94] ; [158 303],[33.95979021 77.04020979] ; [141.04020979 319.95979021],1
18,p6,1,0.000142,14.474469,[17 94] ; [158 310],[33.5492228 77.4507772] ; [141.4507772 326.5492228],1
14,s7,1,0.000213,13.713909,[29 76] ; [218 241],[45.98404255 59.01595745] ; [201.01595745 257.98404255],1
11,s2,1,0.000295,13.103067,[34 80] ; [229 242],[51.25128205 62.74871795] ; [211.74871795 259.25128205],1
10,s1,1,0.000498,12.123171,[ 11 103] ; [ 12 456],[  4.50515464 109.49484536] ; [ 18.49484536 449.50515464],1
