,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p10,1,1e-05,19.467751,[55  9] ; [11 16],[46.41758242 17.58241758] ; [19.58241758  7.41758242],1
0,p9,1,2.3e-05,17.906848,[57  7] ; [13 14],[49.23076923 14.76923077] ; [20.76923077  6.23076923],1
