,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
14,p9,1,0.0,164.877038,[424  46] ; [17 49],[386.69776119  83.30223881] ; [54.30223881 11.69776119],1
6,r3,1,0.0,76.978149,[461  14] ; [47 21],[444.38305709  30.61694291] ; [63.61694291  4.38305709],1
10,p2,1,0.0,69.080442,[412  61] ; [31 37],[387.31792976  85.68207024] ; [55.68207024 12.31792976],1
7,r4,1,0.0,51.852276,[433  45] ; [40 28],[414.09157509  63.90842491] ; [58.90842491  9.09157509],1
8,n6,1,0.0,51.568655,[420  51] ; [38 30],[400.21892393  70.78107607] ; [57.78107607 10.21892393],1
3,v4,1,0.0,48.004859,[454  19] ; [49 18],[440.59074074  32.40925926] ; [62.40925926  4.59074074],1
13,p8,1,0.0,33.042924,[252 215] ; [11 56],[230.00187266 236.99812734] ; [32.99812734 34.00187266],1
5,r2,1,2e-06,22.306812,[447  24] ; [53 14],[437.73234201  33.26765799] ; [62.26765799  4.73234201],1
2,v2,1,8e-06,19.93183,[272 190] ; [20 47],[255.01701323 206.98298677] ; [36.98298677 30.01701323],1
12,p7,1,1.5e-05,18.799927,[289 170] ; [24 44],[272.61290323 186.38709677] ; [40.38709677 27.61290323],1
4,r1,1,1.5e-05,18.737773,[379  97] ; [38 30],[364.875 111.125] ; [52.125 15.875],1
1,v1,1,0.000164,14.205427,[250 214] ; [20 48],[235.4887218 228.5112782] ; [34.5112782 33.4887218],1
9,s8,1,0.000205,13.786029,[199 275] ; [12 54],[185.21111111 288.78888889] ; [25.78888889 40.21111111],1
0,a6,1,0.00029,13.132549,[333 143] ; [32 35],[319.96316759 156.03683241] ; [45.03683241 21.96316759],1
11,p4,1,0.000617,11.722928,[277 194] ; [25 43],[263.89981447 207.10018553] ; [38.10018553 29.89981447],1
