,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p5,1,8.8e-05,15.377774,[ 1 63] ; [3 6],[ 3.50684932 60.49315068] ; [0.49315068 8.50684932],1
1,s8,1,0.000225,13.611564,[17 47] ; [8 1],[21.91780822 42.08219178] ; [3.08219178 5.91780822],1
0,s2,1,0.000496,12.131967,[18 44] ; [8 1],[22.70422535 39.29577465] ; [3.29577465 5.70422535],1
3,p12,1,0.000871,11.084009,[ 2 61] ; [3 6],[ 4.375 58.625] ; [0.625 8.375],1
