,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
4,p8,1,0.0,105.525533,[ 65 160] ; [324 137],[127.58746356  97.41253644] ; [261.41253644 199.58746356],1
3,p6,1,0.0,81.060483,[ 35 192] ; [235 225],[ 89.2139738 137.7860262] ; [180.7860262 279.2139738],1
1,p3,1,0.0,57.390837,[ 77 150] ; [298 164],[123.54862119 103.45137881] ; [251.45137881 210.54862119],1
2,p4,1,0.0,51.898085,[103 124] ; [339 123],[145.62264151  81.37735849] ; [296.37735849 165.62264151],1
0,p2,1,0.0,35.730896,[172  55] ; [425  36],[196.9752907  30.0247093] ; [400.0247093  60.9752907],1
