,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p8,1,1e-06,23.783486,[20 94] ; [37 35],[34.93548387 79.06451613] ; [22.06451613 49.93548387],1
1,p3,1,6e-06,20.360932,[21 92] ; [36 36],[34.81621622 78.18378378] ; [22.18378378 49.81621622],1
0,p2,1,5.3e-05,16.347999,[50 64] ; [54 19],[63.40106952 50.59893048] ; [40.59893048 32.40106952],1
