,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,69.20479,[44 67] ; [217  45],[77.67024129 33.32975871] ; [183.32975871  78.67024129],1
7,p3,1,0.0,35.310307,[28 85] ; [153 110],[54.3962766 58.6037234] ; [126.6037234 136.3962766],1
11,p7,1,0.0,32.407445,[45 67] ; [185  74],[69.43396226 42.56603774] ; [160.56603774  98.43396226],1
12,p8,1,1e-06,25.204998,[35 77] ; [155 105],[57.20430108 54.79569892] ; [132.79569892 127.20430108],1
8,p4,1,1e-06,24.663191,[41 72] ; [169  95],[62.94429708 50.05570292] ; [147.05570292 116.94429708],1
2,n5,1,1e-06,23.4166,[62 50] ; [212  54],[81.18518519 30.81481481] ; [192.81481481  73.18518519],1
5,s8,1,2e-06,22.354181,[25 89] ; [126 137],[45.66047745 68.33952255] ; [105.33952255 157.66047745],1
1,n4,1,8e-06,19.969353,[67 45] ; [217  49],[84.14814815 27.85185185] ; [199.85185185  66.14814815],1
10,p6,1,6.5e-05,15.964519,[23 88] ; [110 149],[39.9 71.1] ; [ 93.1 165.9],1
0,a5,1,0.000291,13.130382,[67 47] ; [205  61],[81.6 32.4] ; [190.4  75.6],1
6,p2,1,0.000416,12.457623,[74 40] ; [214  48],[87.31914894 26.68085106] ; [200.68085106  61.31914894],1
4,s6,1,0.000488,12.159722,[50 64] ; [162  94],[65.31891892 48.68108108] ; [146.68108108 109.31891892],1
3,s2,1,0.000511,12.074759,[35 77] ; [133 129],[50.31016043 61.68983957] ; [117.68983957 144.31016043],1
9,p5,1,0.000891,11.041474,[  4 110] ; [ 41 222],[ 13.60742706 100.39257294] ; [ 31.39257294 231.60742706],1
