,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,b2,1,1.6e-05,18.600423,[12  1] ; [ 77 155],[4.72244898 8.27755102] ; [ 84.27755102 147.72244898],1
1,b3,1,1.6e-05,18.600423,[12  1] ; [ 77 155],[4.72244898 8.27755102] ; [ 84.27755102 147.72244898],1
3,p12,1,0.000258,13.349442,[4 9] ; [ 21 357],[ 0.83120205 12.16879795] ; [ 24.16879795 353.83120205],1
2,s8,1,0.000307,13.0245,[12  1] ; [159 221],[5.65648855 7.34351145] ; [165.34351145 214.65648855],1
