,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,217.934335,[41 59] ; [451  17],[86.61971831 13.38028169] ; [405.38028169  62.61971831],1
5,n5,1,8e-06,20.004401,[56 48] ; [352 113],[74.57293497 29.42706503] ; [333.42706503 131.57293497],1
6,n6,1,1.7e-05,18.519481,[75 28] ; [414  51],[88.67429577 14.32570423] ; [400.32570423  64.67429577],1
8,s6,1,2e-05,18.153595,[49 54] ; [321 140],[67.57092199 35.42907801] ; [302.42907801 158.57092199],1
11,p4,1,0.000131,14.622112,[41 63] ; [279 186],[58.48857645 45.51142355] ; [261.51142355 203.48857645],1
10,p3,1,0.000207,13.768782,[29 75] ; [224 244],[46. 58.] ; [207. 261.],1
12,p8,1,0.000273,13.24957,[36 66] ; [255 207],[52.62765957 49.37234043] ; [238.37234043 223.62765957],1
2,d5,1,0.000316,12.973552,[70 34] ; [388  80],[83.27272727 20.72727273] ; [374.72727273  93.27272727],1
1,a7,1,0.000382,12.617294,[61 42] ; [358 111],[75.4493007 27.5506993] ; [343.5506993 125.4493007],1
0,a5,1,0.000567,11.881686,[58 46] ; [342 127],[72.60034904 31.39965096] ; [327.39965096 141.60034904],1
3,v4,1,0.000666,11.582755,[93 11] ; [451  14],[99.43057996  4.56942004] ; [444.56942004  20.43057996],1
9,p2,1,0.000686,11.525988,[76 28] ; [405  63],[87.45454545 16.54545455] ; [393.54545455  74.45454545],1
7,s2,1,0.000821,11.193089,[34 68] ; [240 225],[49.29100529 52.70899471] ; [224.70899471 240.29100529],1
4,r4,1,0.000921,10.980179,[84 20] ; [430  39],[93.29144852 10.70855148] ; [420.70855148  48.29144852],1
