,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p9,1,0.0,93.55475,[586  31] ; [73 38],[558.5206044  58.4793956] ; [100.4793956  10.5206044],1
6,p2,1,0.0,42.863034,[538  77] ; [73 43],[514.04240766 100.95759234] ; [96.95759234 19.04240766],1
5,n6,1,0.0,30.976195,[540  74] ; [77 37],[520.38186813  93.61813187] ; [96.61813187 17.38186813],1
1,r3,1,0.0,28.636247,[596  19] ; [97 17],[584.62962963  30.37037037] ; [108.37037037   5.62962963],1
4,n5,1,0.0,26.559352,[492 122] ; [66 48],[470.62087912 143.37912088] ; [87.37912088 26.62087912],1
9,p7,1,1e-06,24.412574,[414 187] ; [50 62],[391.11360449 209.88639551] ; [72.88639551 39.11360449],1
3,n4,1,2e-06,23.118657,[496 122] ; [68 46],[476.16393443 141.83606557] ; [87.83606557 26.16393443],1
8,p4,1,2e-06,22.941795,[395 220] ; [46 68],[372.03703704 242.96296296] ; [68.96296296 45.03703704],1
7,p3,1,7e-06,20.071511,[333 283] ; [36 79],[310.9493844 305.0506156] ; [58.0506156 56.9493844],1
0,v4,1,9e-06,19.664353,[589  23] ; [99 16],[579.16918845  32.83081155] ; [108.83081155   6.16918845],1
2,r4,1,1e-05,19.47173,[565  53] ; [90 26],[551.48501362  66.51498638] ; [103.51498638  12.48501362],1
10,p8,1,2.4e-05,17.81515,[360 249] ; [43 71],[339.45643154 269.54356846] ; [63.54356846 50.45643154],1
