,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,39.958544,[ 51 772] ; [21 59],[ 65.62126246 757.37873754] ; [ 6.37873754 73.62126246],1
1,p3,1,0.0,28.554341,[351 473] ; [59 21],[373.71681416 450.28318584] ; [36.28318584 43.71681416],1
2,p4,1,0.0,28.204594,[431 391] ; [66 13],[453.42286349 368.57713651] ; [43.57713651 35.42286349],1
4,p8,1,9e-06,19.705857,[375 440] ; [57 22],[393.82550336 421.17449664] ; [38.17449664 40.82550336],1
3,p6,1,7.7e-05,15.632664,[253 561] ; [41 36],[268.59259259 545.40740741] ; [25.40740741 51.59259259],1
