,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p1,1,0.0,37.017943,[ 30 472] ; [13 26],[ 39.90018484 462.09981516] ; [ 3.09981516 35.90018484],1
1,p3,1,4e-06,21.449503,[196 307] ; [30  9],[209.73800738 293.26199262] ; [16.26199262 22.73800738],1
3,p6,1,0.00024,13.48971,[145 351] ; [22 16],[155.11610487 340.88389513] ; [11.88389513 26.11610487],1
2,p4,1,0.000286,13.160415,[260 240] ; [32  7],[270.87198516 229.12801484] ; [21.12801484 17.87198516],1
