,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
21,p9,1,0.0,154.801036,[250  28] ; [32 83],[199.48091603  78.51908397] ; [82.51908397 32.48091603],1
15,p2,1,0.0,51.269429,[230  46] ; [57 61],[201.04568528  74.95431472] ; [85.95431472 32.04568528],1
19,p7,1,0.0,40.457875,[192  81] ; [42 75],[163.8 109.2] ; [70.2 46.8],1
14,s8,1,0.0,37.960978,[141 137] ; [20 96],[113.59898477 164.40101523] ; [47.40101523 68.59898477],1
20,p8,1,0.0,32.186568,[156 121] ; [29 87],[130.39440204 146.60559796] ; [54.60559796 61.39440204],1
6,r4,1,0.0,31.978171,[241  38] ; [72 46],[219.96725441  59.03274559] ; [93.03274559 24.96725441],1
9,n6,1,0.0,29.500563,[226  51] ; [64 52],[204.40203562  72.59796438] ; [85.59796438 30.40203562],1
8,n5,1,0.0,28.001468,[227  51] ; [65 51],[206.03045685  71.96954315] ; [85.96954315 30.03045685],1
5,r3,1,0.0,27.447526,[255  21] ; [85 32],[238.77862595  37.22137405] ; [101.22137405  15.77862595],1
17,p4,1,0.0,25.678416,[182  97] ; [44 73],[159.22727273 119.77272727] ; [66.77272727 50.22727273],1
3,v4,1,1e-06,24.944529,[257  19] ; [87 29],[242.20408163  33.79591837] ; [101.79591837  14.20408163],1
18,p6,1,5e-06,20.956265,[115 160] ; [20 94],[ 95.43701799 179.56298201] ; [39.56298201 74.43701799],1
13,s7,1,1.1e-05,19.366839,[145 120] ; [32 76],[125.75067024 139.24932976] ; [51.24932976 56.75067024],1
10,s2,1,1.2e-05,19.220734,[154 122] ; [37 80],[134.13740458 141.86259542] ; [56.86259542 60.13740458],1
16,p3,1,1.6e-05,18.664059,[163 114] ; [41 76],[143.4213198 133.5786802] ; [60.5786802 56.4213198],1
11,s5,1,2.2e-05,18.003187,[ 98 169] ; [17 97],[ 80.59055118 186.40944882] ; [34.40944882 79.59055118],1
7,n4,1,2.5e-05,17.767941,[223  56] ; [69 47],[206.24810127  72.75189873] ; [85.75189873 30.24810127],1
12,s6,1,4.3e-05,16.727743,[181  89] ; [52 64],[162.97927461 107.02072539] ; [70.02072539 45.97927461],1
4,r1,1,4.4e-05,16.704484,[220  57] ; [69 47],[203.69720102  73.30279898] ; [85.30279898 30.69720102],1
2,v1,1,8.9e-05,15.351817,[148 121] ; [39 78],[130.31865285 138.68134715] ; [56.68134715 60.31865285],1
0,a3,1,9.3e-05,15.272395,[218  60] ; [68 47],[202.31043257  75.68956743] ; [83.68956743 31.31043257],1
1,a5,1,0.000448,12.318943,[216  63] ; [71 47],[201.69521411  77.30478589] ; [85.30478589 32.69521411],1
