,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
1,p8,1,2.6e-05,17.669224,[ 6 23] ; [30 12],[14.70422535 14.29577465] ; [21.29577465 20.70422535],1
0,p6,1,0.000831,11.17152,[ 2 26] ; [19 24],[ 8.28169014 19.71830986] ; [12.71830986 30.28169014],1
