,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
0,p4,1,0.000315,12.977016,[37  4] ; [144  91],[26.88768116 14.11231884] ; [154.11231884  80.88768116],1
1,p8,1,0.000957,10.908973,[33  8] ; [123 110],[23.34306569 17.65693431] ; [132.65693431 100.34306569],1
