,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p10,1,0.0,56.411903,[62 50] ; [407  63],[90.25429553 21.74570447] ; [378.74570447  91.25429553],1
9,p9,1,0.0,43.392278,[73 38] ; [424  46],[94.95180723 16.04819277] ; [402.04819277  67.95180723],1
6,p2,1,0.0,37.437309,[73 43] ; [412  61],[95.51782683 20.48217317] ; [389.48217317  83.51782683],1
5,n6,1,0.0,33.595406,[77 37] ; [420  51],[96.85128205 17.14871795] ; [400.14871795  70.85128205],1
1,r3,1,0.0,26.395926,[97 17] ; [461  14],[108.   6.] ; [450.  25.],1
0,v4,1,5.7e-05,16.183555,[99 16] ; [454  19],[108.1547619   6.8452381] ; [444.8452381  28.1547619],1
2,r4,1,0.000108,14.988911,[90 26] ; [433  45],[102.13468013  13.86531987] ; [420.86531987  57.13468013],1
3,n4,1,0.000177,14.057442,[68 46] ; [366 110],[83.85762712 30.14237288] ; [350.14237288 125.85762712],1
4,n5,1,0.000373,12.660865,[66 48] ; [351 119],[81.40068493 32.59931507] ; [335.59931507 134.40068493],1
7,p4,1,0.000376,12.648787,[46 68] ; [277 194],[62.94358974 51.05641026] ; [260.05641026 210.94358974],1
8,p7,1,0.000401,12.526654,[50 62] ; [289 170],[66.4938704 45.5061296] ; [272.5061296 186.4938704],1
